item	agent	mode	worktree	handle
CONT-13	writer-inspirasi-vendor-venue	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/cont13-doa	term_5218a5a1-b285-4f32-9468-590b73f8b537
CONT-16	writer-adat-agama-prosedur	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/cont16-skrip	term_da40624e-6ff5-4146-9c10-669c7c9f9a87
CONT-14	writer-inspirasi-vendor-venue	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/cont14-hantaran	term_6e27e718-7646-4c90-a38d-8476d727533d
RIGHTS-03	managing-editor	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/rights03-institutional	term_93b18cd5-4cc1-4bea-b4be-c1a385823998
RIGHTS-02	managing-editor	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin/rights02-census	term_2a2401ff-d51e-4f0a-b9f8-f60ab43fd213
DES-17	product-designer	acceptEdits	/c/Users/Ian Ng/orca/workspaces/hellokahwin/des17-h6rule	term_9717f5b7-114b-4ec5-8207-dc77b17a74d6
UI-17	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui17-rail	term_4d1d8536-3c49-47fd-b2ee-228467fd6c42
UI-18	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/ui18-toc	term_12510799-9355-4185-acab-6ac841fea3a8
DES-18	design-systems-engineer	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/des18-midsize	term_eb1b0a5f-6333-41f0-9311-8ca3244ec1c1
SEO-13	head-of-seo-content	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/seo13-faq	term_88a1d8b8-508a-4598-9977-da039dcce280
RISK-10	bmad-agent-dev	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/hellokahwin-site/risk10-hooks	term_18f00605-73d0-43fc-b431-983142cbe4ba
PLAT-18	bmad-agent-dev	bypassPermissions	/c/Users/Ian Ng/orca/workspaces/buddy/plat18-keycollision	term_6af932d7-a8f8-4ece-a0d4-8ef0b4bea1ce
PLAT-19	bmad-agent-dev	bypassPermissions	/c/Users/Ian Ng/Documents/Code/hellokahwin-site	term_fa1428af-2b9d-431c-a6dd-4a3f5f5b81d5
